Gaia22cuc,16.0,2.0,0.0,33226.814,4.39,-0.529,0.721,73.0,87.0,89.0,7213.998,1.0,0.0,1.0,0.652,1.0,0.729,0.0,0.0,51.0,38.0,0.64,0.978,859.805,6.323,12.0,9.0,0.05,-1.574,0.127,0.007,1719.61,0.0,0.365,-0.01147,0.01517,0.05372,0.1637,0.21478,0.01805,0.01222,0.16172,0.18841,0.16466,0.01372,0.00532
Gaia22cty,11.0,0.0,0.0,11194.44,0.76,-0.092,0.265,20.0,31.0,31.0,6862.181,1.0,1.0,0.0,0.71,0.355,0.171,0.0,0.0,17.0,14.0,0.516,0.323,294.545,0.72,9.0,10.0,0.025,-0.772,0.025,0.001,589.09,0.0,1.434,-0.06367,-0.17352,0.04231,0.18246,0.26527,0.00862,0.0219,0.14342,0.25117,0.20296,0.09512,0.02397
Gaia22ctx,35.0,0.0,0.0,61477.253,8.32,-0.557,0.881,131.0,166.0,166.0,7127.656,1.0,0.0,0.0,0.307,0.994,0.87,0.0,0.0,106.0,60.0,0.301,0.988,1597.235,0.731,39.0,31.0,0.05,-1.17,0.146,0.008,3194.47,0.0,0.213,0.00497,0.01507,0.08128,0.22807,0.1504,0.00223,0.01444,0.0832,0.17354,0.14157,0.10385,0.00139
Gaia22ctw,9.0,5.0,0.0,33716.429,10.35,-2.175,0.825,74.0,78.0,83.0,8195.099,1.0,0.0,0.0,0.398,1.0,2.137,0.0,0.0,67.0,16.0,0.386,0.988,836.155,6.53,22.0,6.0,0.126,-2.717,0.517,0.026,1672.31,0.0,0.203,0.09836,0.08743,0.06557,0.10383,0.15847,0.07377,0.01754,0.04604,0.08548,0.1495,0.11789,-0.00387
Gaia22cto,12.0,3.0,0.0,31091.216,3.46,-0.706,0.865,73.0,82.0,85.0,6996.351,1.0,0.0,0.0,0.153,0.988,0.521,0.0,0.0,52.0,33.0,0.141,0.976,812.8,4.155,42.0,11.0,0.041,-1.96,0.157,0.008,1625.6,0.0,0.128,-0.00056,0.02169,0.09049,0.21436,0.22047,0.00056,0.01478,0.13081,0.14617,0.13019,0.02874,0.00231
Gaia22ctn,75.0,4.0,0.0,85803.162,5.53,-0.23,0.849,176.0,247.0,251.0,6320.493,1.0,0.0,0.0,0.247,1.0,0.455,0.0,0.0,127.0,124.0,0.243,0.996,2320.365,2.352,60.0,50.0,0.022,-0.74,0.059,0.003,4640.73,0.0,0.237,0.01387,0.02221,0.01261,0.48524,0.19695,-0.00229,0.0037,0.07653,0.09148,0.07808,0.02417,-0.00255
Gaia22ctm,23.0,1.0,0.0,16334.389,2.19,-0.195,0.869,115.0,137.0,138.0,1287.817,1.0,0.0,0.0,0.072,0.993,0.317,0.0,0.0,113.0,25.0,0.065,0.986,750.68,1.89,69.0,21.0,0.016,-1.682,0.058,0.005,1501.36,0.0,0.216,0.00056,0.0098,0.06755,0.21286,0.1563,0.00104,0.00162,0.09725,0.17959,0.18773,0.08277,0.00293
Gaia22ctl,35.0,2.0,0.0,43037.803,8.0,-0.68,0.874,79.0,112.0,114.0,7336.868,1.0,0.0,0.0,0.026,0.991,1.015,0.0,0.0,68.0,46.0,0.018,0.982,1107.43,0.669,35.0,44.0,0.071,-0.943,0.233,0.012,2214.86,0.0,0.165,-0.00315,0.01232,0.04599,0.10479,0.13499,-0.00032,0.01739,0.12447,0.21942,0.21992,0.11816,0.006
Gaia22ctj,3.0,2.0,0.0,18511.295,7.98,-2.782,0.613,41.0,42.0,44.0,8641.225,1.0,0.0,0.0,0.773,0.977,3.104,0.0,0.0,25.0,19.0,0.75,0.955,451.03,6.435,25.0,17.0,0.186,-2.203,0.637,0.031,902.06,0.0,0.528,0.01428,0.04613,0.16994,0.28698,0.09327,-0.00363,-0.01031,0.06932,0.13347,0.13759,0.05556,0.00741
Gaia22cti,18.0,0.0,0.0,19967.667,40.85,-3.369,0.357,64.0,82.0,82.0,3817.159,1.0,0.0,0.0,0.378,0.39,8.794,0.0,0.0,63.0,19.0,0.366,0.378,638.765,1.106,25.0,6.0,0.504,-1.485,0.885,0.057,1277.53,0.0,1.19,0.00138,0.02475,0.06984,0.16357,0.17168,0.00138,0.00207,0.08789,0.15978,0.19367,0.11602,0.00797
