0,BIRCH,K-Means,MiniBatchKMeans,BisectingKMeans,AggCluWard, Class
Gaia18dmz,5.0,0.0,0.0,1.0,2.0,unknown
Gaia18dmw,3.0,4.0,2.0,3.0,1.0,unknown
Gaia18dmv,3.0,4.0,2.0,3.0,1.0,QSO
Gaia18dmu,7.0,1.0,5.0,2.0,1.0,unknown
Gaia18dmp,7.0,1.0,2.0,3.0,1.0,unknown
Gaia18dmj,7.0,1.0,5.0,2.0,1.0,unknown
Gaia18dmi,7.0,1.0,5.0,2.0,1.0,unknown
Gaia18dmg,3.0,3.0,2.0,3.0,5.0,unknown
Gaia18dlt,3.0,4.0,2.0,3.0,1.0,unknown
Gaia18dlq,3.0,3.0,3.0,7.0,5.0,unknown
Gaia18dli,0.0,7.0,3.0,5.0,0.0,unknown
Gaia18dlh,7.0,1.0,5.0,2.0,1.0,unknown
Gaia18dlf,3.0,6.0,6.0,5.0,0.0,YSO
Gaia18dle,3.0,4.0,2.0,3.0,1.0,unknown
Gaia18dlc,3.0,3.0,2.0,3.0,5.0,unknown
Gaia18dks,3.0,3.0,3.0,7.0,5.0,unknown
Gaia18dkr,7.0,1.0,5.0,2.0,1.0,unknown
Gaia18dkq,7.0,1.0,5.0,2.0,1.0,unknown
Gaia18dkp,0.0,6.0,3.0,5.0,0.0,unknown
Gaia18dkm,5.0,0.0,0.0,1.0,2.0,unknown
Gaia18dki,7.0,1.0,2.0,3.0,1.0,unknown
Gaia18dkc,5.0,0.0,4.0,0.0,2.0,SN Ia
Gaia18djy,5.0,0.0,0.0,1.0,2.0,SN Ia
Gaia18djv,4.0,4.0,6.0,4.0,7.0,QSO
Gaia18dju,7.0,1.0,2.0,2.0,1.0,unknown
Gaia18djr,5.0,0.0,0.0,1.0,2.0,unknown
Gaia18djn,3.0,4.0,6.0,3.0,0.0,QSO
Gaia18djm,7.0,1.0,2.0,2.0,1.0,unknown
Gaia18djb,7.0,0.0,0.0,1.0,2.0,unknown
Gaia18dih,0.0,5.0,2.0,3.0,0.0,unknown
Gaia18dif,0.0,6.0,6.0,4.0,0.0,unknown
Gaia18dib,5.0,0.0,0.0,1.0,2.0,unknown
Gaia18dia,4.0,0.0,4.0,0.0,2.0,SN II
Gaia18dhy,0.0,6.0,3.0,5.0,1.0,unknown
Gaia18dhx,0.0,4.0,6.0,3.0,0.0,unknown
Gaia18dhv,3.0,4.0,2.0,3.0,1.0,unknown
Gaia18dhu,7.0,1.0,5.0,2.0,1.0,unknown
Gaia18dhs,5.0,0.0,4.0,1.0,2.0,SN IIn
Gaia18dhk,0.0,6.0,3.0,5.0,0.0,unknown
Gaia18dhg,7.0,1.0,2.0,3.0,1.0,unknown
Gaia18dhf,0.0,4.0,3.0,5.0,0.0,unknown
Gaia18dgw,3.0,4.0,2.0,2.0,1.0,unknown
Gaia18dgt,3.0,1.0,2.0,3.0,1.0,unknown
Gaia18dgs,3.0,4.0,2.0,3.0,1.0,unknown
Gaia18dgr,3.0,4.0,2.0,2.0,1.0,unknown
Gaia18dgm,5.0,0.0,4.0,0.0,2.0,unknown
Gaia18dgi,7.0,1.0,5.0,2.0,1.0,CV
Gaia18dgf,5.0,0.0,0.0,1.0,2.0,unknown
Gaia18dge,7.0,1.0,2.0,3.0,1.0,unknown
Gaia18dfw,4.0,4.0,2.0,3.0,7.0,BL Lac
Gaia18dfp,5.0,0.0,4.0,0.0,2.0,SN Ic
Gaia18dfj,3.0,4.0,2.0,3.0,7.0,SN Ic-BL
Gaia18dfg,5.0,0.0,4.0,1.0,2.0,SN II
Gaia18dff,5.0,0.0,4.0,0.0,2.0,SN II
Gaia18dfe,5.0,0.0,0.0,1.0,2.0,unknown
Gaia18dev,7.0,1.0,2.0,3.0,1.0,unknown
Gaia18der,5.0,0.0,4.0,0.0,2.0,unknown
Gaia18dep,3.0,3.0,6.0,4.0,0.0,unknown
Gaia18dem,5.0,0.0,4.0,0.0,2.0,SN Ia
Gaia18del,5.0,0.0,0.0,1.0,2.0,SN Ia
Gaia18dek,4.0,5.0,6.0,4.0,7.0,unknown
Gaia18def,5.0,0.0,1.0,0.0,2.0,unknown
Gaia18deb,3.0,3.0,3.0,7.0,5.0,YSO
Gaia18ddv,7.0,1.0,5.0,2.0,1.0,unknown
