0,K-Means,DBSCAN,MiniBatchKMeans,BisectingKMeans,AggCluAvarage,AggCluComplete,AggCluSingle,AggCluWard, Class
Gaia22bsh,5.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,unknown
Gaia22bsf,5.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,unknown
Gaia22bsb,2.0,0.0,3.0,3.0,0.0,1.0,0.0,4.0,unknown
Gaia22brz,2.0,0.0,3.0,2.0,0.0,1.0,0.0,4.0,unknown
Gaia22bry,3.0,0.0,6.0,0.0,0.0,1.0,0.0,5.0,YSO
Gaia22brx,2.0,0.0,3.0,3.0,0.0,1.0,0.0,4.0,unknown
Gaia22brw,6.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,YSO
Gaia22brv,2.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,unknown
Gaia22bru,2.0,0.0,3.0,2.0,0.0,1.0,0.0,4.0,unknown
Gaia22brq,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,unknown
Gaia22brl,3.0,0.0,6.0,2.0,0.0,1.0,0.0,1.0,unknown
Gaia22brf,2.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,unknown
Gaia22brc,6.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,unknown
Gaia22bra,6.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,unknown
Gaia22bqz,6.0,0.0,6.0,2.0,0.0,1.0,0.0,1.0,unknown
Gaia22bqy,6.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,unknown
Gaia22bqw,6.0,0.0,6.0,1.0,0.0,1.0,0.0,3.0,unknown
Gaia22bqr,2.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,unknown
Gaia22bqp,6.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,unknown
Gaia22bqn,5.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,unknown
Gaia22bqm,3.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,unknown
Gaia22bql,5.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,unknown
Gaia22bqj,6.0,0.0,6.0,2.0,0.0,1.0,0.0,1.0,unknown
Gaia22bqf,6.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,unknown
Gaia22bqe,2.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,unknown
Gaia22bqd,3.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,unknown
Gaia22bqc,6.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,unknown
Gaia22bqb,6.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,BL Lac
Gaia22bqa,2.0,0.0,3.0,3.0,0.0,1.0,0.0,1.0,unknown
Gaia22bpw,3.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,unknown
Gaia22bpv,6.0,0.0,3.0,2.0,0.0,1.0,0.0,3.0,unknown
Gaia22bps,3.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,unknown
Gaia22bpo,3.0,0.0,6.0,2.0,0.0,1.0,0.0,1.0,unknown
Gaia22bpn,6.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,YSO
Gaia22bpm,1.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,unknown
Gaia22bpl,6.0,0.0,6.0,0.0,0.0,1.0,0.0,3.0,unknown
Gaia22bpk,6.0,0.0,3.0,2.0,0.0,1.0,0.0,3.0,unknown
Gaia22bpi,6.0,0.0,3.0,2.0,0.0,1.0,0.0,3.0,unknown
Gaia22bph,5.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,unknown
Gaia22bpe,3.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,unknown
Gaia22bpc,6.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,unknown
Gaia22bpa,1.0,0.0,3.0,3.0,0.0,1.0,0.0,1.0,unknown
Gaia22bov,3.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,unknown
Gaia22bou,3.0,0.0,6.0,2.0,0.0,1.0,0.0,1.0,unknown
Gaia22bop,5.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,unknown
Gaia22bol,3.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,unknown
Gaia22boj,6.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,unknown
Gaia22boh,0.0,0.0,1.0,6.0,0.0,1.0,0.0,6.0,SN Ia-CSM
Gaia22boa,3.0,0.0,6.0,0.0,0.0,1.0,0.0,5.0,unknown
Gaia22bns,1.0,0.0,3.0,3.0,0.0,1.0,0.0,1.0,unknown
Gaia22bnp,5.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,unknown
Gaia22bnl,5.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,unknown
Gaia22bnk,3.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,unknown
Gaia22bni,1.0,0.0,3.0,3.0,0.0,1.0,0.0,4.0,unknown
Gaia22bnh,5.0,0.0,2.0,4.0,0.0,1.0,0.0,3.0,unknown
Gaia22bmz,0.0,0.0,1.0,6.0,0.0,1.0,0.0,6.0,SN Ib
Gaia22bmv,2.0,0.0,3.0,3.0,0.0,1.0,0.0,1.0,unknown
Gaia22bms,0.0,0.0,1.0,6.0,0.0,1.0,0.0,0.0,unknown
Gaia22bmm,3.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,unknown
Gaia22bml,5.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,CV
Gaia22bmh,5.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,unknown
Gaia22bmg,5.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,unknown
Gaia22bmf,5.0,0.0,1.0,4.0,0.0,1.0,0.0,1.0,SN Ia
Gaia22bmb,3.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,unknown
Gaia22bma,3.0,0.0,6.0,2.0,0.0,1.0,0.0,1.0,unknown
Gaia22bls,2.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,unknown
Gaia22blg,3.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,unknown
Gaia22ble,2.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,unknown
Gaia22blb,3.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,unknown
Gaia22bkz,3.0,0.0,6.0,0.0,0.0,1.0,0.0,5.0,AGN
Gaia22bky,6.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,unknown
Gaia22bkx,5.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,unknown
Gaia22bkw,6.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0,unknown
Gaia22bku,5.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,unknown
Gaia22bks,5.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,CV
Gaia22bki,5.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,unknown
Gaia22bkb,3.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,unknown
Gaia22bjz,2.0,0.0,3.0,3.0,0.0,1.0,0.0,4.0,unknown
Gaia22bjy,3.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,BL Lac
Gaia22bjw,2.0,0.0,3.0,2.0,0.0,1.0,0.0,4.0,unknown
Gaia22bjt,0.0,0.0,1.0,6.0,0.0,1.0,0.0,6.0,SN Iax
Gaia22bjr,0.0,0.0,4.0,6.0,0.0,1.0,0.0,6.0,unknown
Gaia22bjn,5.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,CV
Gaia22bjm,0.0,0.0,0.0,5.0,0.0,1.0,0.0,6.0,SN Ia
Gaia22bjl,0.0,0.0,4.0,6.0,0.0,1.0,0.0,6.0,unknown
Gaia22bjj,2.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,unknown
Gaia22bji,5.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,unknown
Gaia22bjc,2.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,unknown
Gaia22bja,0.0,0.0,4.0,6.0,0.0,1.0,0.0,6.0,unknown
Gaia22biy,3.0,0.0,6.0,2.0,0.0,1.0,0.0,1.0,unknown
Gaia22bit,2.0,0.0,3.0,3.0,0.0,1.0,0.0,4.0,star
Gaia22biq,6.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,unknown
Gaia22bij,2.0,0.0,3.0,3.0,0.0,1.0,0.0,4.0,unknown
Gaia22bih,3.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,unknown
