0,DBSCAN
Gaia22bhr,0
Gaia22bhq,0
Gaia22bhp,0
Gaia22bhk,0
Gaia22bhj,-1
Gaia22bhh,-1
Gaia22bhf,0
Gaia22bhe,0
Gaia22bhd,0
Gaia22bhc,0
Gaia22bhb,-1
Gaia22bgz,-1
Gaia22bgw,0
Gaia22bgu,0
Gaia22bgs,0
Gaia22bgr,-1
Gaia22bgp,0
Gaia22bgo,0
Gaia22bgm,0
Gaia22bgk,0
Gaia22bgj,0
Gaia22bgi,0
Gaia22bgh,-1
Gaia22bge,0
Gaia22bgd,0
Gaia22bgc,0
Gaia22bgb,-1
Gaia22bga,-1
Gaia22bfz,-1
Gaia22bfy,0
Gaia22bfw,-1
Gaia22bfv,0
Gaia22bfr,0
Gaia22bfo,0
Gaia22bfn,-1
Gaia22bfm,0
Gaia22bfk,0
Gaia22bfj,-1
Gaia22bfi,0
Gaia22bfh,0
Gaia22bff,-1
Gaia22bfe,14
Gaia22bfc,0
Gaia22bfa,0
Gaia22bez,-1
Gaia22bey,0
Gaia22bev,0
Gaia22beu,-1
Gaia22bet,0
Gaia22bep,0
Gaia22beo,0
Gaia22ben,0
Gaia22bem,-1
Gaia22bek,0
Gaia22bej,0
Gaia22bei,0
Gaia22beh,0
Gaia22bef,0
Gaia22bee,0
Gaia22bed,0
Gaia22beb,0
Gaia22bdz,0
Gaia22bdy,0
Gaia22bdx,-1
Gaia22bdw,0
Gaia22bdv,-1
Gaia22bdu,15
Gaia22bdt,-1
Gaia22bdr,-1
Gaia22bdq,0
Gaia22bdp,-1
Gaia22bdo,-1
Gaia22bdn,-1
Gaia22bdl,0
Gaia22bdk,0
Gaia22bdi,0
Gaia22bdg,-1
Gaia22bdf,-1
Gaia22bde,-1
Gaia22bdb,0
Gaia22bcy,-1
Gaia22bcx,16
Gaia22bcw,0
Gaia22bcv,0
Gaia22bcs,0
Gaia22bcr,0
Gaia22bcq,-1
Gaia22bco,0
Gaia22bcn,-1
Gaia22bcm,-1
Gaia22bck,0
Gaia22bcj,0
